DateInt,DayInWeek,DayOfMonth,DayOfWeekName,FY,MonthInCalendar,MonthName,MonthnYear,MonthOfYear,QuarterInCalendar,QuarternYear,QuarterOfYear,Year,Quarter,Month,Day,ShortYear,Week Number,Year,Quarter,Month,Day,Year
20120203,4,3,Friday,FY12,Feb 2012,February,20120200,2,Q1 2012,20120100,1,2012,Qtr 1,February,3,12,6,2012,Qtr 1,February,5,2012
20120210,4,10,Friday,FY12,Feb 2012,February,20120200,2,Q1 2012,20120100,1,2012,Qtr 1,February,10,12,7,2012,Qtr 1,February,12,2012
20120217,4,17,Friday,FY12,Feb 2012,February,20120200,2,Q1 2012,20120100,1,2012,Qtr 1,February,17,12,8,2012,Qtr 1,February,19,2012
20120224,4,24,Friday,FY12,Feb 2012,February,20120200,2,Q1 2012,20120100,1,2012,Qtr 1,February,24,12,9,2012,Qtr 1,February,26,2012
20120106,4,6,Friday,FY12,Jan 2012,January,20120100,1,Q1 2012,20120100,1,2012,Qtr 1,January,6,12,2,2012,Qtr 1,January,8,2012
20120113,4,13,Friday,FY12,Jan 2012,January,20120100,1,Q1 2012,20120100,1,2012,Qtr 1,January,13,12,3,2012,Qtr 1,January,15,2012
20120120,4,20,Friday,FY12,Jan 2012,January,20120100,1,Q1 2012,20120100,1,2012,Qtr 1,January,20,12,4,2012,Qtr 1,January,22,2012
20120127,4,27,Friday,FY12,Jan 2012,January,20120100,1,Q1 2012,20120100,1,2012,Qtr 1,January,27,12,5,2012,Qtr 1,January,29,2012
20120302,4,2,Friday,FY12,Mar 2012,March,20120300,3,Q1 2012,20120100,1,2012,Qtr 1,March,2,12,10,2012,Qtr 1,March,4,2012
20120309,4,9,Friday,FY12,Mar 2012,March,20120300,3,Q1 2012,20120100,1,2012,Qtr 1,March,9,12,11,2012,Qtr 1,March,11,2012
20120316,4,16,Friday,FY12,Mar 2012,March,20120300,3,Q1 2012,20120100,1,2012,Qtr 1,March,16,12,12,2012,Qtr 1,March,18,2012
20120323,4,23,Friday,FY12,Mar 2012,March,20120300,3,Q1 2012,20120100,1,2012,Qtr 1,March,23,12,13,2012,Qtr 1,March,25,2012
20120330,4,30,Friday,FY12,Mar 2012,March,20120300,3,Q1 2012,20120100,1,2012,Qtr 1,March,30,12,14,2012,Qtr 2,April,1,2012
20120406,4,6,Friday,FY13,Apr 2012,April,20120400,4,Q2 2012,20120200,2,2012,Qtr 2,April,6,12,15,2012,Qtr 2,April,8,2012
20120413,4,13,Friday,FY13,Apr 2012,April,20120400,4,Q2 2012,20120200,2,2012,Qtr 2,April,13,12,16,2012,Qtr 2,April,15,2012
20120420,4,20,Friday,FY13,Apr 2012,April,20120400,4,Q2 2012,20120200,2,2012,Qtr 2,April,20,12,17,2012,Qtr 2,April,22,2012
20120427,4,27,Friday,FY13,Apr 2012,April,20120400,4,Q2 2012,20120200,2,2012,Qtr 2,April,27,12,18,2012,Qtr 2,April,29,2012
20120803,4,3,Friday,FY13,Aug 2012,August,20120800,8,Q3 2012,20120300,3,2012,Qtr 3,August,3,12,32,2012,Qtr 3,August,5,2012
20120810,4,10,Friday,FY13,Aug 2012,August,20120800,8,Q3 2012,20120300,3,2012,Qtr 3,August,10,12,33,2012,Qtr 3,August,12,2012
20120817,4,17,Friday,FY13,Aug 2012,August,20120800,8,Q3 2012,20120300,3,2012,Qtr 3,August,17,12,34,2012,Qtr 3,August,19,2012
20120824,4,24,Friday,FY13,Aug 2012,August,20120800,8,Q3 2012,20120300,3,2012,Qtr 3,August,24,12,35,2012,Qtr 3,August,26,2012
20120831,4,31,Friday,FY13,Aug 2012,August,20120800,8,Q3 2012,20120300,3,2012,Qtr 3,August,31,12,36,2012,Qtr 3,September,2,2012
20121207,4,7,Friday,FY13,Dec 2012,December,20121200,12,Q4 2012,20120400,4,2012,Qtr 4,December,7,12,50,2012,Qtr 4,December,9,2012
20121214,4,14,Friday,FY13,Dec 2012,December,20121200,12,Q4 2012,20120400,4,2012,Qtr 4,December,14,12,51,2012,Qtr 4,December,16,2012
20121221,4,21,Friday,FY13,Dec 2012,December,20121200,12,Q4 2012,20120400,4,2012,Qtr 4,December,21,12,52,2012,Qtr 4,December,23,2012
20121228,4,28,Friday,FY13,Dec 2012,December,20121200,12,Q4 2012,20120400,4,2012,Qtr 4,December,28,12,53,2012,Qtr 4,December,30,2012
20130201,4,1,Friday,FY13,Feb 2013,February,20130200,2,Q1 2013,20130100,1,2013,Qtr 1,February,1,13,5,2013,Qtr 1,February,3,2013
20130208,4,8,Friday,FY13,Feb 2013,February,20130200,2,Q1 2013,20130100,1,2013,Qtr 1,February,8,13,6,2013,Qtr 1,February,10,2013
20130215,4,15,Friday,FY13,Feb 2013,February,20130200,2,Q1 2013,20130100,1,2013,Qtr 1,February,15,13,7,2013,Qtr 1,February,17,2013
20130222,4,22,Friday,FY13,Feb 2013,February,20130200,2,Q1 2013,20130100,1,2013,Qtr 1,February,22,13,8,2013,Qtr 1,February,24,2013
20130104,4,4,Friday,FY13,Jan 2013,January,20130100,1,Q1 2013,20130100,1,2013,Qtr 1,January,4,13,1,2013,Qtr 1,January,6,2013
20130111,4,11,Friday,FY13,Jan 2013,January,20130100,1,Q1 2013,20130100,1,2013,Qtr 1,January,11,13,2,2013,Qtr 1,January,13,2013
20130118,4,18,Friday,FY13,Jan 2013,January,20130100,1,Q1 2013,20130100,1,2013,Qtr 1,January,18,13,3,2013,Qtr 1,January,20,2013
20130125,4,25,Friday,FY13,Jan 2013,January,20130100,1,Q1 2013,20130100,1,2013,Qtr 1,January,25,13,4,2013,Qtr 1,January,27,2013
20120706,4,6,Friday,FY13,Jul 2012,July,20120700,7,Q3 2012,20120300,3,2012,Qtr 3,July,6,12,28,2012,Qtr 3,July,8,2012
20120713,4,13,Friday,FY13,Jul 2012,July,20120700,7,Q3 2012,20120300,3,2012,Qtr 3,July,13,12,29,2012,Qtr 3,July,15,2012
